laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb kredit
2 12 4 4 1424 1 4 4 3 1 3 2 26 3 2 1 3 2 1 2 1
1 6 4 0 4716 5 2 1 3 1 3 1 44 3 2 2 2 1 1 2 1
2 11 3 3 4771 1 4 2 3 1 4 2 51 3 2 1 3 2 1 2 1
1 12 2 2 652 1 5 4 2 1 4 2 24 3 1 1 3 2 1 2 1
2 9 4 3 1154 1 5 2 3 1 4 1 37 3 2 3 2 2 1 2 1
4 15 2 0 3556 5 3 3 3 1 2 4 29 3 2 1 3 2 1 2 1
3 42 4 1 4796 1 5 4 3 1 4 4 56 3 3 1 3 2 1 2 1
3 30 4 3 3017 1 5 4 3 1 4 2 47 3 2 1 3 2 1 2 1
1 24 4 9 1382 2 4 4 3 1 1 1 26 3 2 2 3 2 2 2 1
4 12 2 0 640 1 3 4 1 1 2 1 49 3 2 1 2 2 1 2 1
3 36 2 3 3919 1 3 2 3 1 2 1 23 3 2 1 3 2 2 2 1
4 9 4 0 1224 1 3 3 3 1 1 1 30 3 2 2 3 2 1 2 1
4 12 4 3 2331 5 5 1 3 2 4 1 49 3 2 1 3 2 2 2 1
4 24 2 1 6313 5 5 3 3 1 4 3 41 3 2 1 4 1 2 2 1
1 12 4 3 385 1 4 4 2 1 3 1 58 3 2 4 2 2 2 2 1
4 12 4 3 1655 1 5 2 3 1 4 1 63 3 2 2 2 2 2 2 1
1 15 2 3 1053 1 2 4 4 1 2 1 27 3 2 1 3 2 1 1 1
4 21 2 3 3160 5 5 4 3 1 3 2 41 3 2 1 3 2 2 2 1
4 36 2 0 3079 5 3 4 3 1 4 1 36 3 2 1 3 2 1 2 1
4 12 4 0 1163 3 3 4 3 1 4 1 44 3 2 1 3 2 2 2 1
4 24 2 1 2679 1 2 4 2 1 1 4 29 3 2 1 4 2 2 2 1
4 48 4 3 3578 5 5 4 3 1 1 1 47 3 2 1 3 2 2 2 1
4 36 3 0 10875 1 5 2 3 1 2 3 45 3 2 2 3 1 2 2 1
1 12 3 0 1344 1 3 4 3 1 2 1 43 3 2 2 2 1 1 2 1
4 6 4 3 1237 2 3 1 2 1 1 2 27 3 2 2 3 2 1 2 1
4 12 2 3 3077 1 3 2 3 1 4 3 52 3 2 1 3 2 2 2 1
4 24 2 3 2284 1 4 4 3 1 2 3 28 3 2 1 3 2 2 2 1
2 12 2 3 1567 1 3 1 2 1 1 3 22 3 2 1 3 2 2 2 1
4 24 3 0 2032 1 5 4 3 1 4 4 60 3 3 2 3 2 2 2 1
2 21 4 2 2745 4 4 3 3 1 2 3 32 3 2 2 3 2 2 2 1
4 30 2 3 1867 5 5 4 3 1 4 3 58 3 2 1 3 2 2 2 1
4 36 2 3 2299 3 5 4 3 1 4 3 39 3 2 1 3 2 1 2 1
4 24 2 2 929 5 4 4 3 1 2 3 31 2 2 1 3 2 2 2 1
3 12 2 3 3399 5 5 2 3 1 3 3 37 3 2 1 4 2 1 2 1
2 9 2 2 2030 5 4 2 3 1 1 3 24 3 2 1 3 2 2 2 1
4 21 4 1 3275 1 5 1 3 1 4 3 36 3 2 1 4 2 2 2 1
4 24 4 0 1940 4 5 4 3 1 4 1 60 3 2 1 3 2 2 2 1
1 21 4 0 1602 1 5 4 4 1 3 3 30 3 2 2 3 2 2 2 1
4 15 2 3 1979 5 5 4 3 1 2 3 35 3 2 1 3 2 1 2 1
4 24 4 0 2022 1 3 4 2 1 4 3 37 3 2 1 3 2 2 2 1
4 36 4 3 3342 5 5 4 3 1 2 3 51 3 2 1 3 2 2 2 1
2 18 2 0 5866 2 3 2 3 1 2 3 30 3 2 2 3 2 2 2 1
3 15 4 1 2360 3 3 2 3 1 2 3 36 3 2 1 3 2 2 2 1
4 15 4 2 1520 5 5 4 3 1 4 2 63 3 2 1 3 2 1 2 1
1 12 2 0 3651 4 3 1 3 1 3 2 31 3 2 1 3 1 1 2 1
4 18 2 3 1473 1 2 3 4 1 4 1 39 3 2 1 3 2 2 2 1
3 12 1 3 409 4 3 3 2 1 3 1 42 3 1 2 3 2 1 2 1
4 12 2 3 2171 1 2 2 2 1 2 3 29 1 2 1 3 2 1 2 1
4 48 4 1 8858 5 4 2 3 1 1 4 35 3 3 2 3 2 2 2 1
2 24 2 0 3512 2 4 2 3 1 3 3 38 1 2 2 3 2 2 2 1
